m,seed,task,dataset,method,mae
4,10,legalbench:subset=proa,legalbench,pkps,0.09714488837757246
4,10,legalbench:subset=proa,legalbench,ens,0.06957304962670079
4,10,legalbench:subset=proa,legalbench,irt,0.29529394784732316
4,10,math:subject=algebra,math,sample,0.13010752688172042
4,10,math:subject=algebra,math,pkps,0.17873618855320125
4,10,math:subject=algebra,math,ens,0.12059292945664378
4,10,math:subject=algebra,math,irt,0.26100254097126363
4,10,math:subject=counting_and_probability,math,sample,0.14846980976013233
4,10,math:subject=counting_and_probability,math,pkps,0.18045915276280886
4,10,math:subject=counting_and_probability,math,ens,0.11894026491486719
4,10,math:subject=counting_and_probability,math,irt,0.32574944483875634
4,10,math:subject=geometry,math,sample,0.1536502546689304
4,10,math:subject=geometry,math,pkps,0.1691710109651167
4,10,math:subject=geometry,math,ens,0.11158532377581726
4,10,math:subject=geometry,math,irt,0.43479813237120946
4,10,math:subject=intermediate_algebra,math,sample,0.16046319272125725
4,10,math:subject=intermediate_algebra,math,pkps,0.18730279624693486
4,10,math:subject=intermediate_algebra,math,ens,0.12105421994775754
4,10,math:subject=intermediate_algebra,math,irt,0.279684285707916
4,10,math:subject=number_theory,math,sample,0.13602150537634408
4,10,math:subject=number_theory,math,pkps,0.18904519702192887
4,10,math:subject=number_theory,math,ens,0.12412440980356432
4,10,math:subject=number_theory,math,irt,0.37096999783940554
4,10,math:subject=prealgebra,math,sample,0.15641410352588148
4,10,math:subject=prealgebra,math,pkps,0.1747279445708071
4,10,math:subject=prealgebra,math,ens,0.13670104403127087
4,10,math:subject=prealgebra,math,irt,0.3149935624290175
4,10,math:subject=precalculus,math,sample,0.1803904923599321
4,10,math:subject=precalculus,math,pkps,0.18017318646292957
4,10,math:subject=precalculus,math,ens,0.11671780037313516
4,10,math:subject=precalculus,math,irt,0.47748336875604264
4,10,med_qa,med_qa,sample,0.2029569892473118
4,10,med_qa,med_qa,pkps,0.09728575905606114
4,10,med_qa,med_qa,ens,0.10905574616572514
4,10,med_qa,med_qa,irt,0.47368045670457515
4,10,wmt_14:language_pair=cs-en,wmt_14,sample,0.06047144111423273
4,10,wmt_14:language_pair=cs-en,wmt_14,pkps,0.043151473462992515
4,10,wmt_14:language_pair=cs-en,wmt_14,ens,0.03893554067469353
4,10,wmt_14:language_pair=de-en,wmt_14,sample,0.07354252775639931
4,10,wmt_14:language_pair=de-en,wmt_14,pkps,0.034990229426752936
4,10,wmt_14:language_pair=de-en,wmt_14,ens,0.0364273616763773
4,10,wmt_14:language_pair=fr-en,wmt_14,sample,0.06308764412728245
4,10,wmt_14:language_pair=fr-en,wmt_14,pkps,0.021366397993499864
4,10,wmt_14:language_pair=fr-en,wmt_14,ens,0.03177696581258746
4,10,wmt_14:language_pair=hi-en,wmt_14,sample,0.06498704442089627
4,10,wmt_14:language_pair=hi-en,wmt_14,pkps,0.07986093124005246
4,10,wmt_14:language_pair=hi-en,wmt_14,ens,0.05533517422814269
4,10,wmt_14:language_pair=ru-en,wmt_14,sample,0.06698940624415026
4,10,wmt_14:language_pair=ru-en,wmt_14,pkps,0.0596205404122417
4,10,wmt_14:language_pair=ru-en,wmt_14,ens,0.040958575117562825
4,11,legalbench:subset=abercrombie,legalbench,sample,0.18907753254103005
4,11,legalbench:subset=abercrombie,legalbench,pkps,0.16060050852151952
4,11,legalbench:subset=abercrombie,legalbench,ens,0.12377432241327861
4,11,legalbench:subset=abercrombie,legalbench,irt,0.463436339025601
4,11,legalbench:subset=corporate_lobbying,legalbench,sample,0.14345878136200718
4,11,legalbench:subset=corporate_lobbying,legalbench,pkps,0.12422248350355118
4,11,legalbench:subset=corporate_lobbying,legalbench,ens,0.10049365739485058
4,11,legalbench:subset=corporate_lobbying,legalbench,irt,0.24197017510171007
4,11,legalbench:subset=function_of_decision_section,legalbench,sample,0.20322580645161284
4,11,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07491719983124749
4,11,legalbench:subset=function_of_decision_section,legalbench,ens,0.09412239390447324
4,11,legalbench:subset=function_of_decision_section,legalbench,irt,0.4560111044274416
4,11,legalbench:subset=international_citizenship_questions,legalbench,sample,0.21137992831541227
4,11,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.108833660745175
4,11,legalbench:subset=international_citizenship_questions,legalbench,ens,0.10502805804524752
4,11,legalbench:subset=international_citizenship_questions,legalbench,irt,0.3948832882186336
4,11,legalbench:subset=proa,legalbench,sample,0.10676287492925861
4,11,legalbench:subset=proa,legalbench,pkps,0.09505491593733341
4,11,legalbench:subset=proa,legalbench,ens,0.07199199157442951
4,11,legalbench:subset=proa,legalbench,irt,0.13432789859081204
4,11,math:subject=algebra,math,sample,0.1489247311827957
4,11,math:subject=algebra,math,pkps,0.19902962072413843
4,11,math:subject=algebra,math,ens,0.13445072567063956
4,11,math:subject=algebra,math,irt,0.2823321399528166
4,11,math:subject=counting_and_probability,math,sample,0.16487455197132617
4,11,math:subject=counting_and_probability,math,pkps,0.18426541987375306
4,11,math:subject=counting_and_probability,math,ens,0.1374016280478105
4,11,math:subject=counting_and_probability,math,irt,0.19027443908675776
4,11,math:subject=geometry,math,sample,0.19156762874929256
4,11,math:subject=geometry,math,pkps,0.17615296255049182
4,11,math:subject=geometry,math,ens,0.1407586512384778
4,11,math:subject=geometry,math,irt,0.4432668427313981
4,11,math:subject=intermediate_algebra,math,sample,0.1621174524400331
4,11,math:subject=intermediate_algebra,math,pkps,0.20038256888901135
4,11,math:subject=intermediate_algebra,math,ens,0.13551967593581768
4,11,math:subject=intermediate_algebra,math,irt,0.34786809443726024
4,11,math:subject=number_theory,math,sample,0.16379928315412184
4,11,math:subject=number_theory,math,pkps,0.18117235146422553
4,11,math:subject=number_theory,math,ens,0.1337698204647139
4,11,math:subject=number_theory,math,irt,0.24271953762190734
4,11,math:subject=prealgebra,math,sample,0.13578394598649657
4,11,math:subject=prealgebra,math,pkps,0.1861916822447526
4,11,math:subject=prealgebra,math,ens,0.12142253494217939
4,11,math:subject=prealgebra,math,irt,0.22423995428791493
4,11,math:subject=precalculus,math,sample,0.18538954914167138
4,11,math:subject=precalculus,math,pkps,0.17782508788402496
4,11,math:subject=precalculus,math,ens,0.12510231337758235
4,11,math:subject=precalculus,math,irt,0.3069205597961942
4,11,med_qa,med_qa,sample,0.17374551971326166
4,11,med_qa,med_qa,pkps,0.11525098326062744
4,11,med_qa,med_qa,ens,0.10474240485792653
4,11,med_qa,med_qa,irt,0.5063994641941568
4,11,wmt_14:language_pair=cs-en,wmt_14,sample,0.06073054083021044
4,11,wmt_14:language_pair=cs-en,wmt_14,pkps,0.049915265193672786
4,11,wmt_14:language_pair=cs-en,wmt_14,ens,0.04027084380786306
4,11,wmt_14:language_pair=de-en,wmt_14,sample,0.07367669455593073
4,11,wmt_14:language_pair=de-en,wmt_14,pkps,0.033163078795640615
4,11,wmt_14:language_pair=de-en,wmt_14,ens,0.0371778394487395
4,11,wmt_14:language_pair=fr-en,wmt_14,sample,0.07200830267756679
4,11,wmt_14:language_pair=fr-en,wmt_14,pkps,0.019876683109677634
4,11,wmt_14:language_pair=fr-en,wmt_14,ens,0.02959385363616839
4,11,wmt_14:language_pair=hi-en,wmt_14,sample,0.06776699044011453
4,11,wmt_14:language_pair=hi-en,wmt_14,pkps,0.08636137779881062
4,11,wmt_14:language_pair=hi-en,wmt_14,ens,0.05718186230707454
4,11,wmt_14:language_pair=ru-en,wmt_14,sample,0.07818009545695145
4,11,wmt_14:language_pair=ru-en,wmt_14,pkps,0.05971184920207518
4,11,wmt_14:language_pair=ru-en,wmt_14,ens,0.04580734512460565
8,0,legalbench:subset=abercrombie,legalbench,sample,0.11700622524052064
8,0,legalbench:subset=abercrombie,legalbench,pkps,0.1348446686759181
8,0,legalbench:subset=abercrombie,legalbench,ens,0.09323508958201127
8,0,legalbench:subset=abercrombie,legalbench,irt,0.426337125786825
8,0,legalbench:subset=corporate_lobbying,legalbench,sample,0.10725806451612904
8,0,legalbench:subset=corporate_lobbying,legalbench,pkps,0.09456826764787643
8,0,legalbench:subset=corporate_lobbying,legalbench,ens,0.08418116719587396
8,0,legalbench:subset=corporate_lobbying,legalbench,irt,0.2903278826795984
8,0,legalbench:subset=function_of_decision_section,legalbench,sample,0.11854838709677419
8,0,legalbench:subset=function_of_decision_section,legalbench,pkps,0.06683249120716384
8,0,legalbench:subset=function_of_decision_section,legalbench,ens,0.08116519537293593
8,0,legalbench:subset=function_of_decision_section,legalbench,irt,0.3319432935887327
8,0,legalbench:subset=international_citizenship_questions,legalbench,sample,0.1221326164874552
8,0,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.10179699496943241
8,0,legalbench:subset=international_citizenship_questions,legalbench,ens,0.08995672303079151
8,0,legalbench:subset=international_citizenship_questions,legalbench,irt,0.4655628767486327
8,0,legalbench:subset=proa,legalbench,sample,0.07863610639501979
8,0,legalbench:subset=proa,legalbench,pkps,0.09034130188137747
8,0,legalbench:subset=proa,legalbench,ens,0.06125284827980938
8,0,legalbench:subset=proa,legalbench,irt,0.21444725517822702
8,0,math:subject=algebra,math,sample,0.0932795698924731
8,0,math:subject=algebra,math,pkps,0.17408328205432724
8,0,math:subject=algebra,math,ens,0.0845983753540995
8,0,math:subject=algebra,math,irt,0.22079199664954127
8,0,math:subject=counting_and_probability,math,sample,0.10070306038047976
8,0,math:subject=counting_and_probability,math,pkps,0.16597185545957788
8,0,math:subject=counting_and_probability,math,ens,0.08709046787405512
8,0,math:subject=counting_and_probability,math,irt,0.2594599640406025
8,0,math:subject=geometry,math,sample,0.12323146576117712
8,0,math:subject=geometry,math,pkps,0.16644852338951485
8,0,math:subject=geometry,math,ens,0.09989501551237001
8,0,math:subject=geometry,math,irt,0.41829180618182754
8,0,math:subject=intermediate_algebra,math,sample,0.1100082712985939
8,0,math:subject=intermediate_algebra,math,pkps,0.18557178247005837
8,0,math:subject=intermediate_algebra,math,ens,0.0981615665149885
8,0,math:subject=intermediate_algebra,math,irt,0.28602896735214534
8,0,math:subject=number_theory,math,sample,0.09166666666666665
8,0,math:subject=number_theory,math,pkps,0.1860675737069368
8,0,math:subject=number_theory,math,ens,0.09240090884523959
8,0,math:subject=number_theory,math,irt,0.2617618417683767
8,0,math:subject=prealgebra,math,sample,0.09605526381595396
8,0,math:subject=prealgebra,math,pkps,0.16805799411343245
8,0,math:subject=prealgebra,math,ens,0.086872005792746
8,0,math:subject=prealgebra,math,irt,0.18085895507582694
8,0,math:subject=precalculus,math,sample,0.11339841539332203
8,0,math:subject=precalculus,math,pkps,0.16280323802717317
8,0,math:subject=precalculus,math,ens,0.10279775401993087
8,0,math:subject=precalculus,math,irt,0.4254612770685817
8,0,med_qa,med_qa,sample,0.1077956989247312
8,0,med_qa,med_qa,pkps,0.10490825168581353
8,0,med_qa,med_qa,ens,0.07796751379300348
8,0,med_qa,med_qa,irt,0.3931053930616286
8,0,wmt_14:language_pair=cs-en,wmt_14,sample,0.04245910615959718
8,0,wmt_14:language_pair=cs-en,wmt_14,pkps,0.04376714945845229
8,0,wmt_14:language_pair=cs-en,wmt_14,ens,0.035355019699798984
8,0,wmt_14:language_pair=de-en,wmt_14,sample,0.05511357990818154
8,0,wmt_14:language_pair=de-en,wmt_14,pkps,0.037806695299148964
8,0,wmt_14:language_pair=de-en,wmt_14,ens,0.03703193054408025
8,0,wmt_14:language_pair=fr-en,wmt_14,sample,0.04553284398502723
8,0,wmt_14:language_pair=fr-en,wmt_14,pkps,0.021233129865814312
8,0,wmt_14:language_pair=fr-en,wmt_14,ens,0.031703905517301886
8,0,wmt_14:language_pair=hi-en,wmt_14,sample,0.051045982202896585
8,0,wmt_14:language_pair=hi-en,wmt_14,pkps,0.07687033045891957
8,0,wmt_14:language_pair=hi-en,wmt_14,ens,0.04620597576942918
8,0,wmt_14:language_pair=ru-en,wmt_14,sample,0.04091394368873485
8,0,wmt_14:language_pair=ru-en,wmt_14,pkps,0.058946252448342035
8,0,wmt_14:language_pair=ru-en,wmt_14,ens,0.03719296278414232
8,1,legalbench:subset=abercrombie,legalbench,sample,0.12685342388228635
8,1,legalbench:subset=abercrombie,legalbench,pkps,0.14510426550077152
8,1,legalbench:subset=abercrombie,legalbench,ens,0.10249456996183189
8,1,legalbench:subset=abercrombie,legalbench,irt,0.4446951834862699
8,1,legalbench:subset=corporate_lobbying,legalbench,sample,0.11827956989247314
8,1,legalbench:subset=corporate_lobbying,legalbench,pkps,0.11354367148753879
8,1,legalbench:subset=corporate_lobbying,legalbench,ens,0.09577266831763503
8,1,legalbench:subset=corporate_lobbying,legalbench,irt,0.42437573180408233
8,1,legalbench:subset=function_of_decision_section,legalbench,sample,0.13163082437275989
8,1,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07357015925865383
8,1,legalbench:subset=function_of_decision_section,legalbench,ens,0.08426970927786541
8,1,legalbench:subset=function_of_decision_section,legalbench,irt,0.41397840734313657
8,1,legalbench:subset=international_citizenship_questions,legalbench,sample,0.13620071684587812
8,1,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.11680969048281366
8,1,legalbench:subset=international_citizenship_questions,legalbench,ens,0.09654233245744216
8,1,legalbench:subset=international_citizenship_questions,legalbench,irt,0.4434608123650653
8,1,legalbench:subset=proa,legalbench,sample,0.07811262026032822
8,1,legalbench:subset=proa,legalbench,pkps,0.08411516856520304
8,1,legalbench:subset=proa,legalbench,ens,0.058313689501092336
8,1,legalbench:subset=proa,legalbench,irt,0.6600905384059691
8,1,math:subject=algebra,math,sample,0.08772401433691758
8,1,math:subject=algebra,math,pkps,0.18811720126716866
8,1,math:subject=algebra,math,ens,0.08988902603580494
8,1,math:subject=algebra,math,irt,0.1389556203844801
8,1,math:subject=counting_and_probability,math,sample,0.09143231320650674
8,1,math:subject=counting_and_probability,math,pkps,0.1820838293004087
8,1,math:subject=counting_and_probability,math,ens,0.08524658491682446
8,1,math:subject=counting_and_probability,math,irt,0.294296837037139
8,1,math:subject=geometry,math,sample,0.11552065647990943
8,1,math:subject=geometry,math,pkps,0.1794999419522063
8,1,math:subject=geometry,math,ens,0.08396820154501074
8,1,math:subject=geometry,math,irt,0.5067071867233843
8,1,math:subject=intermediate_algebra,math,sample,0.1143507030603805
8,1,math:subject=intermediate_algebra,math,pkps,0.20366462991111972
8,1,math:subject=intermediate_algebra,math,ens,0.10202826728705984
8,1,math:subject=intermediate_algebra,math,irt,0.28988990201843207
8,1,math:subject=number_theory,math,sample,0.09130824372759858
8,1,math:subject=number_theory,math,pkps,0.19953157004118977
8,1,math:subject=number_theory,math,ens,0.09935069544507266
8,1,math:subject=number_theory,math,irt,0.37814828751408175
8,1,math:subject=prealgebra,math,sample,0.09711802950737686
8,1,math:subject=prealgebra,math,pkps,0.18161209211040516
8,1,math:subject=prealgebra,math,ens,0.09679285113185807
8,1,math:subject=prealgebra,math,irt,0.3190348947039647
8,1,math:subject=precalculus,math,sample,0.1284663271080928
8,1,math:subject=precalculus,math,pkps,0.19001919133854006
8,1,math:subject=precalculus,math,ens,0.10867124746358214
8,1,math:subject=precalculus,math,irt,0.34418139082839844
8,1,med_qa,med_qa,sample,0.13324372759856629
8,1,med_qa,med_qa,pkps,0.10860529474881686
8,1,med_qa,med_qa,ens,0.0848012292558629
8,1,med_qa,med_qa,irt,0.5122275521717766
8,1,wmt_14:language_pair=cs-en,wmt_14,sample,0.04127634827550232
8,1,wmt_14:language_pair=cs-en,wmt_14,pkps,0.041409524016160056
8,1,wmt_14:language_pair=cs-en,wmt_14,ens,0.031564046179217806
8,1,wmt_14:language_pair=de-en,wmt_14,sample,0.04922576204803646
8,1,wmt_14:language_pair=de-en,wmt_14,pkps,0.038121690035039894
8,1,wmt_14:language_pair=de-en,wmt_14,ens,0.0368867453519819
8,1,wmt_14:language_pair=fr-en,wmt_14,sample,0.04755089101980612
8,1,wmt_14:language_pair=fr-en,wmt_14,pkps,0.020942738699952224
8,1,wmt_14:language_pair=fr-en,wmt_14,ens,0.032015138573347146
8,1,wmt_14:language_pair=hi-en,wmt_14,sample,0.047094673899633684
8,1,wmt_14:language_pair=hi-en,wmt_14,pkps,0.07819858041515504
8,1,wmt_14:language_pair=hi-en,wmt_14,ens,0.042712325541090314
8,1,wmt_14:language_pair=ru-en,wmt_14,sample,0.04691771221606009
8,1,wmt_14:language_pair=ru-en,wmt_14,pkps,0.06240629520836986
8,1,wmt_14:language_pair=ru-en,wmt_14,ens,0.03932409578616356
8,2,legalbench:subset=abercrombie,legalbench,sample,0.13255517826825125
8,2,legalbench:subset=abercrombie,legalbench,pkps,0.14201430899774317
8,2,legalbench:subset=abercrombie,legalbench,ens,0.10919091526774112
8,2,legalbench:subset=abercrombie,legalbench,irt,0.41540055640402285
8,2,legalbench:subset=corporate_lobbying,legalbench,sample,0.11191756272401433
8,2,legalbench:subset=corporate_lobbying,legalbench,pkps,0.10565142985048503
8,2,legalbench:subset=corporate_lobbying,legalbench,ens,0.0874880527668367
8,2,legalbench:subset=corporate_lobbying,legalbench,irt,0.3996527071699347
8,2,legalbench:subset=function_of_decision_section,legalbench,sample,0.12571684587813617
8,2,legalbench:subset=function_of_decision_section,legalbench,pkps,0.06758399945442627
8,2,legalbench:subset=function_of_decision_section,legalbench,ens,0.0812975280108607
8,2,legalbench:subset=function_of_decision_section,legalbench,irt,0.4836231422686013
8,2,legalbench:subset=international_citizenship_questions,legalbench,sample,0.13449820788530467
8,2,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.11317894470047478
8,2,legalbench:subset=international_citizenship_questions,legalbench,ens,0.09361487939777195
8,2,legalbench:subset=international_citizenship_questions,legalbench,irt,0.4314607357163434
8,2,legalbench:subset=proa,legalbench,sample,0.08129598189020938
8,2,legalbench:subset=proa,legalbench,pkps,0.08717514043413245
8,2,legalbench:subset=proa,legalbench,ens,0.06716214414516705
8,2,legalbench:subset=proa,legalbench,irt,0.13618377879339946
8,2,math:subject=algebra,math,sample,0.09722222222222221
8,2,math:subject=algebra,math,pkps,0.1696696025429082
8,2,math:subject=algebra,math,ens,0.09639420620283612
8,2,math:subject=algebra,math,irt,0.20223279752749002
8,2,math:subject=counting_and_probability,math,sample,0.10525227460711331
8,2,math:subject=counting_and_probability,math,pkps,0.16531280742772214
8,2,math:subject=counting_and_probability,math,ens,0.09424477474471063
8,2,math:subject=counting_and_probability,math,irt,0.4829020256837084
8,2,math:subject=geometry,math,sample,0.1025749858517261
8,2,math:subject=geometry,math,pkps,0.158857309552149
8,2,math:subject=geometry,math,ens,0.0874326497222239
8,2,math:subject=geometry,math,irt,0.396589721676463
8,2,math:subject=intermediate_algebra,math,sample,0.10349462365591398
8,2,math:subject=intermediate_algebra,math,pkps,0.16893608560352547
8,2,math:subject=intermediate_algebra,math,ens,0.08661207347274562
8,2,math:subject=intermediate_algebra,math,irt,0.271435220109783
8,2,math:subject=number_theory,math,sample,0.10663082437275986
8,2,math:subject=number_theory,math,pkps,0.17907998280064538
8,2,math:subject=number_theory,math,ens,0.10464961236417746
8,2,math:subject=number_theory,math,irt,0.386547474487023
8,2,math:subject=prealgebra,math,sample,0.09786821705426355
8,2,math:subject=prealgebra,math,pkps,0.1610239652099665
8,2,math:subject=prealgebra,math,ens,0.09488479674054605
8,2,math:subject=prealgebra,math,irt,0.40439576525350196
8,2,math:subject=precalculus,math,sample,0.11165346161101683
8,2,math:subject=precalculus,math,pkps,0.16862918660789641
8,2,math:subject=precalculus,math,ens,0.08938007630300021
8,2,math:subject=precalculus,math,irt,0.3029341374551415
8,2,med_qa,med_qa,sample,0.1196236559139785
8,2,med_qa,med_qa,pkps,0.10756118660164402
8,2,med_qa,med_qa,ens,0.08264653065611882
8,2,med_qa,med_qa,irt,0.49412963299660984
8,2,wmt_14:language_pair=cs-en,wmt_14,sample,0.0459031193754786
8,2,wmt_14:language_pair=cs-en,wmt_14,pkps,0.045758620769448394
8,2,wmt_14:language_pair=cs-en,wmt_14,ens,0.03619971099846804
8,2,wmt_14:language_pair=de-en,wmt_14,sample,0.0534228676047419
8,2,wmt_14:language_pair=de-en,wmt_14,pkps,0.034521324653261666
8,2,wmt_14:language_pair=de-en,wmt_14,ens,0.036423528006024476
8,2,wmt_14:language_pair=fr-en,wmt_14,sample,0.05390122412450345
8,2,wmt_14:language_pair=fr-en,wmt_14,pkps,0.021397843624022646
8,2,wmt_14:language_pair=fr-en,wmt_14,ens,0.0344212523083254
8,2,wmt_14:language_pair=hi-en,wmt_14,sample,0.04964884650836772
8,2,wmt_14:language_pair=hi-en,wmt_14,pkps,0.07659316105046605
8,2,wmt_14:language_pair=hi-en,wmt_14,ens,0.04470369054316617
8,2,wmt_14:language_pair=ru-en,wmt_14,sample,0.045382557614659876
8,2,wmt_14:language_pair=ru-en,wmt_14,pkps,0.05503655931111426
8,2,wmt_14:language_pair=ru-en,wmt_14,ens,0.03705870572000994
8,3,legalbench:subset=abercrombie,legalbench,sample,0.13023486134691567
8,3,legalbench:subset=abercrombie,legalbench,pkps,0.13293959021760146
8,3,legalbench:subset=abercrombie,legalbench,ens,0.10175955201195801
8,3,legalbench:subset=abercrombie,legalbench,irt,0.3994694595375305
8,3,legalbench:subset=corporate_lobbying,legalbench,sample,0.10949820788530466
8,3,legalbench:subset=corporate_lobbying,legalbench,pkps,0.09895876538990592
8,3,legalbench:subset=corporate_lobbying,legalbench,ens,0.08448447989863227
8,3,legalbench:subset=corporate_lobbying,legalbench,irt,0.2353389546783634
8,3,legalbench:subset=function_of_decision_section,legalbench,sample,0.11818996415770608
8,3,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07072461282194559
8,3,legalbench:subset=function_of_decision_section,legalbench,ens,0.08045454927844466
8,3,legalbench:subset=function_of_decision_section,legalbench,irt,0.4355852186093371
8,3,legalbench:subset=international_citizenship_questions,legalbench,sample,0.1471326164874552
8,3,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.11484161899645617
8,3,legalbench:subset=international_citizenship_questions,legalbench,ens,0.11408332335456847
8,3,legalbench:subset=international_citizenship_questions,legalbench,irt,0.4287211890300235
8,3,legalbench:subset=proa,legalbench,sample,0.06969439728353141
8,3,legalbench:subset=proa,legalbench,pkps,0.08288949336051696
8,3,legalbench:subset=proa,legalbench,ens,0.057400843628441625
8,3,legalbench:subset=proa,legalbench,irt,0.2558507639501568
8,3,math:subject=algebra,math,sample,0.10017921146953403
8,3,math:subject=algebra,math,pkps,0.1691597440512434
8,3,math:subject=algebra,math,ens,0.08097402520094861
8,3,math:subject=algebra,math,irt,0.2639384214556489
8,3,math:subject=counting_and_probability,math,sample,0.09339674662255305
8,3,math:subject=counting_and_probability,math,pkps,0.163486241635898
8,3,math:subject=counting_and_probability,math,ens,0.08941934112091325
8,3,math:subject=counting_and_probability,math,irt,0.209340651551881
8,3,math:subject=geometry,math,sample,0.11700622524052064
8,3,math:subject=geometry,math,pkps,0.16040521817434067
8,3,math:subject=geometry,math,ens,0.09331696831270589
8,3,math:subject=geometry,math,irt,0.37148796333214246
8,3,math:subject=intermediate_algebra,math,sample,0.10390818858560796
8,3,math:subject=intermediate_algebra,math,pkps,0.17853150326628212
8,3,math:subject=intermediate_algebra,math,ens,0.09290166134340677
8,3,math:subject=intermediate_algebra,math,irt,0.37255268003791125
8,3,math:subject=number_theory,math,sample,0.10439068100358422
8,3,math:subject=number_theory,math,pkps,0.183030865018961
8,3,math:subject=number_theory,math,ens,0.09770041646554786
8,3,math:subject=number_theory,math,irt,0.2645476316499552
8,3,math:subject=prealgebra,math,sample,0.11543510877719428
8,3,math:subject=prealgebra,math,pkps,0.15837071990313467
8,3,math:subject=prealgebra,math,ens,0.10224161290639885
8,3,math:subject=prealgebra,math,irt,0.21940006209845553
8,3,math:subject=precalculus,math,sample,0.11462459913223921
8,3,math:subject=precalculus,math,pkps,0.1734261045630391
8,3,math:subject=precalculus,math,ens,0.09710624574647447
8,3,math:subject=precalculus,math,irt,0.42346089779365476
8,3,med_qa,med_qa,sample,0.12768817204301075
8,3,med_qa,med_qa,pkps,0.10072650659800987
8,3,med_qa,med_qa,ens,0.09689116666498689
8,3,med_qa,med_qa,irt,0.4996381504956951
8,3,wmt_14:language_pair=cs-en,wmt_14,sample,0.03965221432188139
8,3,wmt_14:language_pair=cs-en,wmt_14,pkps,0.043013362298796744
8,3,wmt_14:language_pair=cs-en,wmt_14,ens,0.030091190951514066
8,3,wmt_14:language_pair=de-en,wmt_14,sample,0.04358302275018942
8,3,wmt_14:language_pair=de-en,wmt_14,pkps,0.031740276737845706
8,3,wmt_14:language_pair=de-en,wmt_14,ens,0.03416349714330722
8,3,wmt_14:language_pair=fr-en,wmt_14,sample,0.05125044175552951
8,3,wmt_14:language_pair=fr-en,wmt_14,pkps,0.019496865789685222
8,3,wmt_14:language_pair=fr-en,wmt_14,ens,0.034028849982471736
8,3,wmt_14:language_pair=hi-en,wmt_14,sample,0.05857298728184739
8,3,wmt_14:language_pair=hi-en,wmt_14,pkps,0.07719472061217865
8,3,wmt_14:language_pair=hi-en,wmt_14,ens,0.05172924524945392
8,3,wmt_14:language_pair=ru-en,wmt_14,sample,0.047108134538699435
8,3,wmt_14:language_pair=ru-en,wmt_14,pkps,0.053813020366274576
8,3,wmt_14:language_pair=ru-en,wmt_14,ens,0.040972941075415895
8,4,legalbench:subset=abercrombie,legalbench,sample,0.10778155065082058
8,4,legalbench:subset=abercrombie,legalbench,pkps,0.14817543386364151
8,4,legalbench:subset=abercrombie,legalbench,ens,0.08684172852539167
8,4,legalbench:subset=abercrombie,legalbench,irt,0.47557844579205766
8,4,legalbench:subset=corporate_lobbying,legalbench,sample,0.11603942652329749
8,4,legalbench:subset=corporate_lobbying,legalbench,pkps,0.10867720804856489
8,4,legalbench:subset=corporate_lobbying,legalbench,ens,0.08874329517310661
8,4,legalbench:subset=corporate_lobbying,legalbench,irt,0.2214108443104306
8,4,legalbench:subset=function_of_decision_section,legalbench,sample,0.12526881720430108
8,4,legalbench:subset=function_of_decision_section,legalbench,pkps,0.07780198154851498
8,4,legalbench:subset=function_of_decision_section,legalbench,ens,0.08923114143263823
8,4,legalbench:subset=function_of_decision_section,legalbench,irt,0.39482108193278637
8,4,legalbench:subset=international_citizenship_questions,legalbench,sample,0.1307347670250896
8,4,legalbench:subset=international_citizenship_questions,legalbench,pkps,0.11316191712684737
8,4,legalbench:subset=international_citizenship_questions,legalbench,ens,0.09647108403140332
8,4,legalbench:subset=international_citizenship_questions,legalbench,irt,0.35403759956171804
8,4,legalbench:subset=proa,legalbench,sample,0.074151103565365
8,4,legalbench:subset=proa,legalbench,pkps,0.09261495229044066
8,4,legalbench:subset=proa,legalbench,ens,0.06014990860631846
8,4,legalbench:subset=proa,legalbench,irt,0.20724531016291667
8,4,math:subject=algebra,math,sample,0.08154121863799284
8,4,math:subject=algebra,math,pkps,0.17719289972057928
8,4,math:subject=algebra,math,ens,0.08502952598263512
8,4,math:subject=algebra,math,irt,0.21432773266307803
8,4,math:subject=counting_and_probability,math,sample,0.09835952577888062
8,4,math:subject=counting_and_probability,math,pkps,0.17376570612038375
8,4,math:subject=counting_and_probability,math,ens,0.09738839811842795
8,4,math:subject=counting_and_probability,math,irt,0.3587545988491211
8,4,math:subject=geometry,math,sample,0.12549518958687042
8,4,math:subject=geometry,math,pkps,0.16476598314430932
8,4,math:subject=geometry,math,ens,0.1023574565596454
8,4,math:subject=geometry,math,irt,0.3883887765133256
8,4,math:subject=intermediate_algebra,math,sample,0.09884201819685692
8,4,math:subject=intermediate_algebra,math,pkps,0.1868193294367083
8,4,math:subject=intermediate_algebra,math,ens,0.08244559376004111
8,4,math:subject=intermediate_algebra,math,irt,0.23118212449065034
8,4,math:subject=number_theory,math,sample,0.08691756272401432
8,4,math:subject=number_theory,math,pkps,0.17692517795705337
